table_name,field_name,language,translation
stops,stop_name,ja-Hrkt,いんてりじ
stops,stop_name,ja-Hrkt,ねじょうろ
stops,stop_name,ja-Hrkt,ひといちせ
stops,stop_name,ja-Hrkt,あさひがお
stops,stop_name,ja-Hrkt,ちゅうおう
stops,stop_name,ja-Hrkt,ほうしはま
stops,stop_name,ja-Hrkt,みさきだい
stops,stop_name,ja-Hrkt,さめ
stops,stop_name,ja-Hrkt,はちのへこ
stops,stop_name,ja-Hrkt,はまいちか
stops,stop_name,ja-Hrkt,みどりちょ
stops,stop_name,ja-Hrkt,るいけみな
stops,stop_name,ja-Hrkt,むいかまち
stops,stop_name,ja-Hrkt,うらまち
stops,stop_name,ja-Hrkt,かねはまぐ
stops,stop_name,ja-Hrkt,がんじょう
stops,stop_name,ja-Hrkt,きたこうこ
stops,stop_name,ja-Hrkt,にゅーみな
stops,stop_name,ja-Hrkt,みなとたか
stops,stop_name,ja-Hrkt,しんちょう
stops,stop_name,ja-Hrkt,ふつかいち
stops,stop_name,ja-Hrkt,ふるとぐち
stops,stop_name,ja-Hrkt,みなとびょ
stops,stop_name,ja-Hrkt,さくらぎち
stops,stop_name,ja-Hrkt,おおやま
stops,stop_name,ja-Hrkt,なかみち
stops,stop_name,ja-Hrkt,みなとたか
stops,stop_name,ja-Hrkt,りくじょう
stops,stop_name,ja-Hrkt,かわらぎだ
stops,stop_name,ja-Hrkt,じゅうたく
stops,stop_name,ja-Hrkt,ゆにしろが
stops,stop_name,ja-Hrkt,びしゃもん
stops,stop_name,ja-Hrkt,ひがしうん
stops,stop_name,ja-Hrkt,そうごうふ
stops,stop_name,ja-Hrkt,ならだて
stops,stop_name,ja-Hrkt,もとき
stops,stop_name,ja-Hrkt,たねさししょうがっこうまえ
stops,stop_name,ja-Hrkt,あさひがお
stops,stop_name,ja-Hrkt,にしそうぜ
stops,stop_name,ja-Hrkt,みちあい
stops,stop_name,ja-Hrkt,おろしせん
stops,stop_name,ja-Hrkt,かしわざき
stops,stop_name,ja-Hrkt,さいのかみ
stops,stop_name,ja-Hrkt,たがだいに
stops,stop_name,ja-Hrkt,はまなやち
stops,stop_name,ja-Hrkt,みなみはま
stops,stop_name,ja-Hrkt,みょう
stops,stop_name,ja-Hrkt,ゆうびんき
stops,stop_name,ja-Hrkt,いわのさわ
stops,stop_name,ja-Hrkt,かみやなぎ
stops,stop_name,ja-Hrkt,かじちょう
stops,stop_name,ja-Hrkt,しんおおは
stops,stop_name,ja-Hrkt,あさひがお
stops,stop_name,ja-Hrkt,にしこうえ
stops,stop_name,ja-Hrkt,ふかくぼ
stops,stop_name,ja-Hrkt,べいぱーく
stops,stop_name,ja-Hrkt,さいのかみ
stops,stop_name,ja-Hrkt,しのぶちょ
stops,stop_name,ja-Hrkt,せいりゅう
stops,stop_name,ja-Hrkt,たいなかと
stops,stop_name,ja-Hrkt,たいへいよ
stops,stop_name,ja-Hrkt,はにきねん
stops,stop_name,ja-Hrkt,おおまちい
stops,stop_name,ja-Hrkt,がまたい
stops,stop_name,ja-Hrkt,かみはまな
stops,stop_name,ja-Hrkt,たがだいひ
stops,stop_name,ja-Hrkt,おおくぼ
stops,stop_name,ja-Hrkt,ようぼうせ
stops,stop_name,ja-Hrkt,こくぼ
stops,stop_name,ja-Hrkt,ふなみちょ
stops,stop_name,ja-Hrkt,あしげざきてんぼうだいまえ
stops,stop_name,ja-Hrkt,たむかい
stops,stop_name,ja-Hrkt,かみさびし
stops,stop_name,ja-Hrkt,ほうしくぼ
stops,stop_name,ja-Hrkt,じゅうろく
stops,stop_name,ja-Hrkt,ねぎし
stops,stop_name,ja-Hrkt,ばば
stops,stop_name,ja-Hrkt,こうぎょう
stops,stop_name,ja-Hrkt,しろがねだ
stops,stop_name,ja-Hrkt,しろがねだ
stops,stop_name,ja-Hrkt,てんとうぐ
stops,stop_name,ja-Hrkt,のばなか
stops,stop_name,ja-Hrkt,なかがわら
stops,stop_name,ja-Hrkt,しらはまかいすいよくじょうまえ
stops,stop_name,ja-Hrkt,みほのとお
stops,stop_name,ja-Hrkt,ききょうの
stops,stop_name,ja-Hrkt,こどものく
stops,stop_name,ja-Hrkt,しげち
stops,stop_name,ja-Hrkt,じんじゃま
stops,stop_name,ja-Hrkt,そうぜん
stops,stop_name,ja-Hrkt,ひがしとお
